municipality_code,year,measure_type,neonatal_deaths,infant_deaths,under5_deaths,maternal_deaths,municipality_name
120042,2010,residence,5,5,5,0,Rodrigues Alves
120020,2010,residence,19,25,29,2,Cruzeiro do Sul
120070,2010,residence,6,7,11,0,Xapuri
120033,2010,residence,4,4,5,0,Mâncio Lima
120030,2010,residence,7,16,20,0,Feijó
120045,2010,residence,2,3,5,1,Senador Guiomard
120080,2010,residence,6,9,10,1,Porto Acre
120025,2010,residence,3,7,7,0,Epitaciolândia
120034,2010,residence,4,6,6,0,Manoel Urbano
120038,2010,residence,1,2,6,0,Plácido de Castro
120013,2010,residence,2,4,4,0,Bujari
120039,2010,residence,3,4,5,0,Porto Walter
120005,2010,residence,3,3,3,0,Assis Brasil
120060,2010,residence,11,22,25,0,Tarauacá
120010,2010,residence,6,6,8,0,Brasiléia
120032,2010,residence,3,8,11,0,Jordão
120050,2010,residence,11,18,19,1,Sena Madureira
120035,2010,residence,2,5,8,0,Marechal Thaumaturgo
120017,2010,residence,2,2,2,0,Capixaba
120001,2010,residence,3,6,6,0,Acrelândia
120043,2010,residence,1,8,8,0,Santa Rosa do Purus
120040,2010,occurrence,124,193,221,3,Rio Branco
120042,2010,occurrence,1,1,1,0,Rodrigues Alves
120020,2010,occurrence,30,41,46,2,Cruzeiro do Sul
120070,2010,occurrence,1,2,6,0,Xapuri
120033,2010,occurrence,2,2,2,0,Mâncio Lima
120030,2010,occurrence,6,10,13,0,Feijó
120045,2010,occurrence,1,1,2,0,Senador Guiomard
120080,2010,occurrence,0,0,0,1,Porto Acre
120034,2010,occurrence,0,2,2,0,Manoel Urbano
120038,2010,occurrence,0,0,3,0,Plácido de Castro
120013,2010,occurrence,0,0,0,0,Bujari
120017,2010,occurrence,0,0,0,0,Capixaba
120039,2010,occurrence,0,0,1,0,Porto Walter
120005,2010,occurrence,0,0,0,0,Assis Brasil
120060,2010,occurrence,10,18,21,0,Tarauacá
120010,2010,occurrence,4,5,7,0,Brasiléia
120025,2010,occurrence,1,3,3,0,Epitaciolândia
120032,2010,occurrence,3,7,10,0,Jordão
120001,2010,occurrence,0,1,1,0,Acrelândia
120050,2010,occurrence,4,8,8,0,Sena Madureira
410690,2010,occurrence,307,434,509,21,Curitiba
110020,2010,occurrence,211,307,349,12,Porto Velho
120043,2010,occurrence,0,3,3,0,Santa Rosa do Purus
410420,2010,occurrence,45,85,97,3,Campo Largo
120035,2010,occurrence,1,2,3,0,Marechal Thaumaturgo
130070,2010,occurrence,3,4,4,0,Boca do Acre
261160,2010,occurrence,757,1111,1292,35,Recife
520870,2010,occurrence,500,696,811,17,Goiânia
320520,2010,occurrence,48,75,91,4,Vila Velha
350950,2010,occurrence,197,299,353,7,Campinas
350550,2010,occurrence,16,27,36,0,Barretos
311120,2010,occurrence,5,6,7,0,Campo Belo
330455,2010,occurrence,896,1397,1682,67,Rio de Janeiro
355030,2010,occurrence,1558,2403,2808,94,São Paulo
310620,2010,occurrence,471,712,838,33,Belo Horizonte
500270,2010,occurrence,182,285,336,10,Campo Grande
520140,2010,occurrence,25,38,48,0,Aparecida de Goiânia
530010,2010,occurrence,550,761,858,39,Brasília
150140,2010,occurrence,567,866,1028,29,Belém
130260,2010,occurrence,409,653,789,45,Manaus
221100,2010,occurrence,399,550,631,38,Teresina
330220,2010,occurrence,13,22,26,1,Itaperuna
120060,2015,residence,24,35,38,0,Tarauacá
120050,2015,residence,4,8,9,0,Sena Madureira
120043,2015,residence,2,11,12,1,Santa Rosa do Purus
120005,2015,residence,4,7,8,0,Assis Brasil
120017,2015,residence,2,2,4,0,Capixaba
120013,2015,residence,1,2,2,0,Bujari
120035,2015,residence,3,7,9,0,Marechal Thaumaturgo
120080,2015,residence,4,5,5,0,Porto Acre
120001,2015,residence,1,2,3,0,Acrelândia
120034,2015,residence,3,8,9,0,Manoel Urbano
120045,2015,residence,3,6,6,1,Senador Guiomard
120038,2015,residence,5,8,8,0,Plácido de Castro
120032,2015,residence,3,4,5,1,Jordão
120020,2015,residence,15,20,24,2,Cruzeiro do Sul
120040,2015,residence,68,101,115,3,Rio Branco
120042,2015,residence,3,6,7,0,Rodrigues Alves
120025,2015,residence,1,2,3,0,Epitaciolândia
120033,2015,residence,4,9,9,1,Mâncio Lima
120070,2015,residence,3,4,4,0,Xapuri
120030,2015,residence,14,26,29,0,Feijó
120010,2015,residence,8,14,16,1,Brasiléia
120039,2015,residence,2,4,5,0,Porto Walter
120020,2015,occurrence,25,37,42,3,Cruzeiro do Sul
120050,2015,occurrence,1,2,2,0,Sena Madureira
120043,2015,occurrence,0,3,3,0,Santa Rosa do Purus
120005,2015,occurrence,1,2,2,0,Assis Brasil
120017,2015,occurrence,0,0,1,0,Capixaba
120013,2015,occurrence,0,1,1,0,Bujari
120035,2015,occurrence,2,5,7,0,Marechal Thaumaturgo
120080,2015,occurrence,0,0,0,0,Porto Acre
120001,2015,occurrence,0,0,1,0,Acrelândia
120034,2015,occurrence,1,5,7,0,Manoel Urbano
120045,2015,occurrence,0,0,0,0,Senador Guiomard
120038,2015,occurrence,0,1,1,0,Plácido de Castro
120060,2015,occurrence,15,21,25,0,Tarauacá
110012,2015,occurrence,6,10,13,0,Ji-Paraná
120032,2015,occurrence,2,2,2,0,Jordão
120040,2015,occurrence,122,199,218,7,Rio Branco
120042,2015,occurrence,0,1,1,0,Rodrigues Alves
120025,2015,occurrence,0,0,0,0,Epitaciolândia
120033,2015,occurrence,0,0,1,0,Mâncio Lima
120070,2015,occurrence,1,2,2,0,Xapuri
120030,2015,occurrence,10,18,19,0,Feijó
110002,2015,occurrence,26,31,32,0,Ariquemes
120010,2015,occurrence,5,8,11,0,Brasiléia
260110,2015,occurrence,8,11,16,0,Araripina
410690,2015,occurrence,262,382,441,10,Curitiba
110030,2015,occurrence,5,9,12,0,Vilhena
120039,2015,occurrence,0,1,1,0,Porto Walter
110020,2015,occurrence,195,287,312,10,Porto Velho
317010,2015,occurrence,75,88,95,2,Uberaba
355030,2015,occurrence,1575,2359,2703,98,São Paulo
520140,2015,occurrence,30,44,52,4,Aparecida de Goiânia
130260,2015,occurrence,442,686,802,30,Manaus
530010,2015,occurrence,501,661,742,26,Brasília
520870,2015,occurrence,530,701,787,20,Goiânia
510704,2015,occurrence,5,5,10,2,Primavera do Leste
410150,2015,occurrence,7,9,10,1,Arapongas
350550,2015,occurrence,17,28,39,1,Barretos
317020,2015,occurrence,95,123,142,3,Uberlândia
230440,2015,occurrence,630,895,1007,28,Fortaleza
354780,2015,occurrence,67,101,118,11,Santo André
270080,2000,residence,1,2,2,0,Belém
270135,2000,residence,2,9,9,0,Campestre
270430,2000,residence,408,552,629,10,Maceió
270100,2000,residence,8,13,15,0,Boca da Mata
270150,2000,residence,1,5,5,0,Campo Grande
270640,2000,residence,6,9,12,0,Pão de Açúcar
270140,2000,residence,7,21,28,0,Campo Alegre
270450,2000,residence,9,19,22,0,Maragogi
270030,2000,residence,58,118,149,2,Arapiraca
270560,2000,residence,1,6,9,0,Novo Lino
270300,2000,residence,4,14,21,0,Ibateguara
270860,2000,residence,7,17,22,0,São Miguel dos Campos
270350,2000,residence,2,4,7,0,Jacuípe
270210,2000,residence,8,27,31,0,Colônia Leopoldina
270390,2000,residence,4,6,10,0,Jundiá
270330,2000,residence,1,3,3,0,Inhapi
270610,2000,residence,2,4,5,1,Ouro Branco
270710,2000,residence,6,17,18,1,Piranhas
270630,2000,residence,31,44,52,3,Palmeira dos Índios
270010,2000,residence,0,4,5,0,Água Branca
270020,2000,residence,4,7,10,2,Anadia
270040,2000,residence,13,27,31,1,Atalaia
270050,2000,residence,4,14,15,0,Barra de Santo Antônio
270060,2000,residence,2,2,2,0,Barra de São Miguel
270070,2000,residence,6,7,7,0,Batalha
270090,2000,residence,1,1,1,0,Belo Monte
270110,2000,residence,3,6,11,0,Branquinha
270120,2000,residence,9,12,14,0,Cacimbinhas
270130,2000,residence,10,29,33,0,Cajueiro
270160,2000,residence,2,7,8,0,Canapi
270170,2000,residence,17,26,33,0,Capela
270180,2000,residence,1,8,9,0,Carneiros
270190,2000,residence,9,11,12,0,Chã Preta
270200,2000,residence,5,10,12,0,Coité do Nóia
270220,2000,residence,3,3,3,0,Coqueiro Seco
270235,2000,residence,5,16,17,0,Craíbas
270240,2000,residence,9,31,34,1,Delmiro Gouveia
270250,2000,residence,5,7,10,0,Dois Riachos
270255,2000,residence,4,6,7,0,Estrela de Alagoas
270260,2000,residence,6,9,9,0,Feira Grande
270270,2000,residence,1,1,2,0,Feliz Deserto
270280,2000,residence,2,6,12,0,Flexeiras
270290,2000,residence,11,19,28,0,Girau do Ponciano
270310,2000,residence,11,15,19,0,Igaci
270320,2000,residence,4,9,10,0,Igreja Nova
270340,2000,residence,4,6,7,0,Jacaré dos Homens
270360,2000,residence,1,1,1,0,Japaratinga
270370,2000,residence,2,3,3,0,Jaramataia
270380,2000,residence,14,34,38,0,Joaquim Gomes
270400,2000,residence,9,14,18,0,Junqueiro
270410,2000,residence,0,6,7,0,Lagoa da Canoa
270420,2000,residence,10,14,17,0,Limoeiro de Anadia
270440,2000,residence,10,13,16,0,Major Isidoro
270460,2000,residence,2,4,4,0,Maravilha
270470,2000,residence,18,31,37,2,Marechal Deodoro
270480,2000,residence,5,7,8,0,Maribondo
270490,2000,residence,0,0,0,0,Mar Vermelho
270500,2000,residence,2,8,10,1,Mata Grande
270510,2000,residence,23,37,37,0,Matriz de Camaragibe
270520,2000,residence,2,5,8,0,Messias
270530,2000,residence,0,1,2,0,Minador do Negrão
270540,2000,residence,2,6,7,0,Monteirópolis
270550,2000,residence,7,13,16,0,Murici
270570,2000,residence,3,7,11,0,Olho d'Água das Flores
270580,2000,residence,5,6,6,0,Olho d'Água do Casado
270590,2000,residence,0,0,2,0,Olho d'Água Grande
270600,2000,residence,5,14,16,1,Olivença
270620,2000,residence,1,1,2,1,Palestina
270642,2000,residence,1,3,5,0,Pariconha
270644,2000,residence,2,11,12,0,Paripueira
270650,2000,residence,3,18,20,0,Passo de Camaragibe
270660,2000,residence,2,3,3,0,Paulo Jacinto
270670,2000,residence,29,48,60,1,Penedo
270680,2000,residence,10,17,17,0,Piaçabuçu
270690,2000,residence,11,24,28,0,Pilar
270700,2000,residence,0,1,2,0,Pindoba
270720,2000,residence,1,5,5,1,Poço das Trincheiras
270730,2000,residence,17,41,48,0,Porto Calvo
270740,2000,residence,4,5,6,0,Porto de Pedras
270750,2000,residence,7,15,20,0,Porto Real do Colégio
270760,2000,residence,1,3,4,0,Quebrangulo
270770,2000,residence,23,34,38,0,Rio Largo
270780,2000,residence,6,16,18,0,Roteiro
270790,2000,residence,3,7,8,0,Santa Luzia do Norte
270800,2000,residence,22,41,47,0,Santana do Ipanema
270810,2000,residence,3,5,6,0,Santana do Mundaú
270820,2000,residence,2,3,3,0,São Brás
270830,2000,residence,14,50,60,0,São José da Laje
270840,2000,residence,8,16,25,1,São José da Tapera
270850,2000,residence,13,43,54,0,São Luís do Quitunde
270870,2000,residence,0,5,5,0,São Miguel dos Milagres
270880,2000,residence,13,19,24,1,São Sebastião
270890,2000,residence,3,6,6,0,Satuba
270895,2000,residence,6,16,17,0,Senador Rui Palmeira
270900,2000,residence,2,2,2,0,Tanque d'Arca
270910,2000,residence,1,8,9,0,Taquarana
270915,2000,residence,17,33,42,0,Teotônio Vilela
270920,2000,residence,5,12,16,1,Traipu
270930,2000,residence,13,28,32,1,União dos Palmares
270940,2000,residence,9,24,26,0,Viçosa
270230,2000,residence,35,50,56,1,Coruripe
150307,2000,occurrence,3,10,13,0,Garrafão do Norte
270135,2000,occurrence,0,3,3,0,Campestre
211153,2000,occurrence,0,0,0,0,São Pedro da Água Branca
210530,2000,occurrence,108,133,159,7,Imperatriz
220390,2000,occurrence,28,34,40,4,Floriano
221100,2000,occurrence,446,603,713,26,Teresina
230440,2000,occurrence,903,1420,1669,41,Fortaleza
240810,2000,occurrence,350,592,704,13,Natal
270150,2000,occurrence,0,4,4,0,Campo Grande
250400,2000,occurrence,403,539,594,5,Campina Grande
251080,2000,occurrence,67,108,121,3,Patos
270430,2000,occurrence,631,935,1094,15,Maceió
261040,2000,occurrence,1,1,2,0,Parnamirim
261160,2000,occurrence,1078,1588,1850,33,Recife
260080,2000,occurrence,4,15,18,0,Altinho
260410,2000,occurrence,218,326,347,5,Caruaru
261370,2000,occurrence,5,14,16,0,São Lourenço da Mata
260790,2000,occurrence,94,136,159,2,Jaboatão dos Guararapes
260120,2000,occurrence,39,82,101,5,Arcoverde
261310,2000,occurrence,4,15,19,0,São Caitano
261000,2000,occurrence,66,103,117,1,Palmares
260140,2000,occurrence,9,20,28,0,Barreiros
261180,2000,occurrence,11,33,38,0,Ribeirão
260920,2000,occurrence,5,21,24,0,Maraial
260040,2000,occurrence,4,16,20,0,Água Preta
260520,2000,occurrence,8,18,25,0,Escada
260600,2000,occurrence,112,189,215,2,Garanhuns
270710,2000,occurrence,3,13,14,1,Piranhas
270630,2000,occurrence,79,102,111,5,Palmeira dos Índios
260210,2000,occurrence,6,23,27,0,Bom Conselho
270010,2000,occurrence,0,5,5,0,Água Branca
270370,2000,occurrence,0,0,0,0,Jaramataia
270020,2000,occurrence,1,2,3,1,Anadia
270240,2000,occurrence,6,26,29,1,Delmiro Gouveia
270040,2000,occurrence,0,1,3,0,Atalaia
270050,2000,occurrence,1,6,6,0,Barra de Santo Antônio
270850,2000,occurrence,5,26,33,0,São Luís do Quitunde
270860,2000,occurrence,7,16,22,0,São Miguel dos Campos
270070,2000,occurrence,7,7,7,0,Batalha
270080,2000,occurrence,0,1,1,0,Belém
270090,2000,occurrence,0,0,0,0,Belo Monte
270100,2000,occurrence,1,1,3,0,Boca da Mata
270930,2000,occurrence,7,15,17,0,União dos Palmares
270110,2000,occurrence,1,3,5,0,Branquinha
270130,2000,occurrence,6,22,25,0,Cajueiro
270940,2000,occurrence,2,16,17,0,Viçosa
270170,2000,occurrence,10,13,17,0,Capela
270690,2000,occurrence,3,11,15,0,Pilar
270160,2000,occurrence,1,4,5,0,Canapi
270140,2000,occurrence,1,8,12,0,Campo Alegre
270500,2000,occurrence,0,4,5,1,Mata Grande
270610,2000,occurrence,0,1,1,0,Ouro Branco
270180,2000,occurrence,1,5,5,0,Carneiros
270570,2000,occurrence,0,3,4,0,Olho d'Água das Flores
270190,2000,occurrence,7,7,7,0,Chã Preta
270200,2000,occurrence,0,1,1,0,Coité do Nóia
270220,2000,occurrence,0,0,0,0,Coqueiro Seco
270235,2000,occurrence,1,6,6,0,Craíbas
280030,2000,occurrence,648,928,1062,31,Aracaju
270580,2000,occurrence,4,5,5,0,Olho d'Água do Casado
280290,2000,occurrence,59,63,68,1,Itabaiana
292400,2000,occurrence,27,56,61,2,Paulo Afonso
270250,2000,occurrence,0,1,1,0,Dois Riachos
270255,2000,occurrence,0,2,2,0,Estrela de Alagoas
270260,2000,occurrence,2,3,3,0,Feira Grande
270270,2000,occurrence,0,0,0,0,Feliz Deserto
270280,2000,occurrence,0,1,5,0,Flexeiras
270290,2000,occurrence,2,6,9,0,Girau do Ponciano
270410,2000,occurrence,0,2,3,0,Lagoa da Canoa
270300,2000,occurrence,1,7,10,0,Ibateguara
270830,2000,occurrence,13,40,46,0,São José da Laje
270310,2000,occurrence,1,1,1,0,Igaci
310130,2000,occurrence,0,0,0,0,Alagoa
270320,2000,occurrence,0,0,0,0,Igreja Nova
270330,2000,occurrence,0,1,1,0,Inhapi
270340,2000,occurrence,2,4,5,0,Jacaré dos Homens
270350,2000,occurrence,1,3,4,0,Jacuípe
270730,2000,occurrence,10,30,34,0,Porto Calvo
270360,2000,occurrence,0,0,0,0,Japaratinga
270380,2000,occurrence,2,11,14,0,Joaquim Gomes
270390,2000,occurrence,4,5,8,0,Jundiá
270400,2000,occurrence,6,9,9,0,Junqueiro
270420,2000,occurrence,2,6,6,0,Limoeiro de Anadia
270644,2000,occurrence,1,4,5,0,Paripueira
270760,2000,occurrence,0,1,2,0,Quebrangulo
270520,2000,occurrence,1,3,4,0,Messias
270640,2000,occurrence,8,12,17,1,Pão de Açúcar
230730,2000,occurrence,71,113,136,7,Juazeiro do Norte
270440,2000,occurrence,2,4,5,0,Major Isidoro
270450,2000,occurrence,3,11,11,0,Maragogi
260720,2000,occurrence,6,25,28,0,Ipojuca
270470,2000,occurrence,2,12,14,0,Marechal Deodoro
270480,2000,occurrence,0,0,0,0,Maribondo
270490,2000,occurrence,0,0,0,0,Mar Vermelho
270510,2000,occurrence,5,10,10,0,Matriz de Camaragibe
270530,2000,occurrence,0,0,1,0,Minador do Negrão
270540,2000,occurrence,0,0,1,0,Monteirópolis
270550,2000,occurrence,1,4,5,0,Murici
270560,2000,occurrence,0,5,5,0,Novo Lino
261650,2000,occurrence,4,12,16,0,Xexéu
270840,2000,occurrence,0,3,8,0,São José da Tapera
270590,2000,occurrence,0,0,0,0,Olho d'Água Grande
280570,2000,occurrence,7,10,13,0,Propriá
270600,2000,occurrence,1,7,8,0,Olivença
260050,2000,occurrence,2,29,30,1,Águas Belas
240850,2000,occurrence,0,0,0,0,Ouro Branco
270620,2000,occurrence,0,0,1,0,Palestina
280560,2000,occurrence,4,7,7,1,Porto da Folha
270642,2000,occurrence,1,3,5,0,Pariconha
