municipality_code,year,measure_type,municipality_name,live_births,neonatal_deaths,infant_deaths,under5_deaths,maternal_deaths,neonatal_per_1000,infant_per_1000,under5_per_1000,maternal_per_100000
110007,2005,residence,Corumbiara,139,1,2,2,0,7.19424460431655,14.3884892086331,14.3884892086331,0
110007,2010,occurrence,Corumbiara,2,1,1,1,0,500,500,500,0
110007,2010,residence,Corumbiara,131,3,3,3,0,22.9007633587786,22.9007633587786,22.9007633587786,0
110007,2015,occurrence,Corumbiara,1,0,0,0,0,0,0,0,0
110007,2015,residence,Corumbiara,111,0,0,0,0,0,0,0,0
110008,2000,occurrence,Costa Marques,340,2,6,9,1,5.88235294117647,17.6470588235294,26.4705882352941,294.117647058824
110008,2000,residence,Costa Marques,297,2,7,10,1,6.73400673400673,23.5690235690236,33.6700336700337,336.700336700337
110008,2005,occurrence,Costa Marques,316,5,8,10,0,15.8227848101266,25.3164556962025,31.6455696202532,0
110008,2005,residence,Costa Marques,343,6,10,12,0,17.4927113702624,29.1545189504373,34.9854227405248,0
110008,2010,occurrence,Costa Marques,247,0,1,1,0,0,4.04858299595142,4.04858299595142,0
110008,2010,residence,Costa Marques,263,1,2,2,0,3.80228136882129,7.60456273764259,7.60456273764259,0
110008,2015,occurrence,Costa Marques,52,0,0,0,0,0,0,0,0
110008,2015,residence,Costa Marques,245,4,7,8,0,16.3265306122449,28.5714285714286,32.6530612244898,0
110009,2000,occurrence,Espigão D'Oeste,566,4,6,9,1,7.06713780918728,10.6007067137809,15.9010600706714,176.678445229682
110009,2000,residence,Espigão D'Oeste,661,10,13,17,1,15.1285930408472,19.6671709531014,25.7186081694402,151.285930408472
110009,2005,occurrence,Espigão D'Oeste,584,10,12,12,0,17.1232876712329,20.5479452054795,20.5479452054795,0
110009,2005,residence,Espigão D'Oeste,603,10,12,14,0,16.5837479270315,19.9004975124378,23.2172470978441,0
110009,2010,occurrence,Espigão D'Oeste,303,1,3,4,0,3.3003300330033,9.9009900990099,13.2013201320132,0
110009,2010,residence,Espigão D'Oeste,495,7,13,15,1,14.1414141414141,26.2626262626263,30.3030303030303,202.020202020202
110009,2015,occurrence,Espigão D'Oeste,513,1,2,2,0,1.94931773879142,3.89863547758285,3.89863547758285,0
110009,2015,residence,Espigão D'Oeste,548,5,8,8,0,9.12408759124088,14.5985401459854,14.5985401459854,0
110010,2000,occurrence,Guajará-Mirim,1249,4,8,10,0,3.20256204963971,6.40512409927942,8.00640512409928,0
110010,2000,residence,Guajará-Mirim,1167,6,8,12,0,5.1413881748072,6.85518423307626,10.2827763496144,0
