municipality_code,year,measure_type,live_births,municipality_name
120038,2010,occurrence,91,Plácido de Castro
120039,2010,occurrence,240,Porto Walter
120040,2010,occurrence,8424,Rio Branco
120043,2010,occurrence,176,Santa Rosa do Purus
120045,2010,occurrence,101,Senador Guiomard
120070,2010,occurrence,190,Xapuri
120080,2010,occurrence,3,Porto Acre
130070,2010,occurrence,561,Boca do Acre
355030,2010,occurrence,191575,São Paulo
510125,2010,occurrence,404,Araputanga
530010,2010,occurrence,55185,Brasília
110020,2010,occurrence,8943,Porto Velho
330455,2010,occurrence,86878,Rio de Janeiro
510250,2010,occurrence,1620,Cáceres
510560,2010,occurrence,195,Matupá
520870,2010,occurrence,29251,Goiânia
120040,2015,residence,6965,Rio Branco
120001,2015,residence,217,Acrelândia
120045,2015,residence,443,Senador Guiomard
120017,2015,residence,219,Capixaba
120038,2015,residence,350,Plácido de Castro
120039,2015,residence,262,Porto Walter
120060,2015,residence,1165,Tarauacá
120035,2015,residence,445,Marechal Thaumaturgo
120032,2015,residence,273,Jordão
120030,2015,residence,772,Feijó
120025,2015,residence,279,Epitaciolândia
120010,2015,residence,531,Brasiléia
120005,2015,residence,238,Assis Brasil
120080,2015,residence,358,Porto Acre
120034,2015,residence,266,Manoel Urbano
120043,2015,residence,150,Santa Rosa do Purus
120033,2015,residence,395,Mâncio Lima
120020,2015,residence,1839,Cruzeiro do Sul
120070,2015,residence,322,Xapuri
120042,2015,residence,396,Rodrigues Alves
120050,2015,residence,847,Sena Madureira
120013,2015,residence,248,Bujari
120040,2015,occurrence,9638,Rio Branco
120001,2015,occurrence,25,Acrelândia
120017,2015,occurrence,2,Capixaba
120038,2015,occurrence,51,Plácido de Castro
120039,2015,occurrence,132,Porto Walter
120060,2015,occurrence,1218,Tarauacá
120032,2015,occurrence,212,Jordão
120035,2015,occurrence,279,Marechal Thaumaturgo
120020,2015,occurrence,3095,Cruzeiro do Sul
120030,2015,occurrence,635,Feijó
120025,2015,occurrence,2,Epitaciolândia
120010,2015,occurrence,827,Brasiléia
120080,2015,occurrence,1,Porto Acre
120034,2015,occurrence,139,Manoel Urbano
355030,2015,occurrence,198472,São Paulo
120005,2015,occurrence,94,Assis Brasil
120043,2015,occurrence,109,Santa Rosa do Purus
120033,2015,occurrence,117,Mâncio Lima
120070,2015,occurrence,156,Xapuri
120045,2015,occurrence,58,Senador Guiomard
120042,2015,occurrence,71,Rodrigues Alves
220390,2015,occurrence,2367,Floriano
130170,2015,occurrence,963,Humaitá
330455,2015,occurrence,96098,Rio de Janeiro
120050,2015,occurrence,815,Sena Madureira
130180,2015,occurrence,412,Ipixuna
520870,2015,occurrence,35139,Goiânia
510190,2015,occurrence,168,Brasnorte
240800,2015,occurrence,6874,Mossoró
130150,2015,occurrence,395,Envira
110015,2015,occurrence,1176,Ouro Preto do Oeste
110020,2015,occurrence,10336,Porto Velho
110002,2015,occurrence,2129,Ariquemes
270880,2000,residence,822,São Sebastião
270135,2000,residence,222,Campestre
270140,2000,residence,955,Campo Alegre
270150,2000,residence,254,Campo Grande
270080,2000,residence,119,Belém
270640,2000,residence,690,Pão de Açúcar
270060,2000,residence,161,Barra de São Miguel
270450,2000,residence,611,Maragogi
270730,2000,residence,724,Porto Calvo
270160,2000,residence,342,Canapi
270800,2000,residence,1202,Santana do Ipanema
270190,2000,residence,157,Chã Preta
270810,2000,residence,246,Santana do Mundaú
270610,2000,residence,262,Ouro Branco
270300,2000,residence,327,Ibateguara
270430,2000,residence,17085,Maceió
270235,2000,residence,536,Craíbas
270200,2000,residence,235,Coité do Nóia
270240,2000,residence,1004,Delmiro Gouveia
270360,2000,residence,171,Japaratinga
270350,2000,residence,146,Jacuípe
270510,2000,residence,513,Matriz de Camaragibe
270830,2000,residence,598,São José da Laje
270670,2000,residence,1446,Penedo
270210,2000,residence,474,Colônia Leopoldina
270380,2000,residence,592,Joaquim Gomes
270560,2000,residence,268,Novo Lino
270390,2000,residence,76,Jundiá
270850,2000,residence,823,São Luís do Quitunde
270520,2000,residence,324,Messias
270500,2000,residence,487,Mata Grande
270130,2000,residence,515,Cajueiro
270690,2000,residence,640,Pilar
270890,2000,residence,227,Satuba
270460,2000,residence,210,Maravilha
270680,2000,residence,439,Piaçabuçu
270750,2000,residence,396,Porto Real do Colégio
270320,2000,residence,536,Igreja Nova
