codigo,nome,indicador,unidade_geografica,nome_indicador,unidade_indicador,meta_oms,ano_recente,valor_recente,nascidos_vivos_recente,anos_validos,inclinacao_anual,projecao_2030,status_oms
17004,17004,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,0,2424,4,-7.45446177226004,0,Meta atingida
17005,17005,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,75.642965204236,2644,4,0.321044909069649,67.1875145745445,Fora do caminho
17006,17006,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,77.6276975624903,6441,4,-0.692711232839745,59.2495350610182,No caminho
17007,17007,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,161.117078410312,1862,4,8.62860310544946,247.403109464805,Fora do caminho
17008,17008,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,51.150895140665,1955,4,0.173237499073399,55.5537861089972,Meta atingida
21001,21001,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,118.858954041204,5048,4,2.18691090493837,146.863243244543,Fora do caminho
21002,21002,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,117.841150129625,4243,4,6.27201990461864,231.224757682357,Fora do caminho
21003,21003,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,166.825548141087,4196,4,2.18281986727109,176.723616815942,Fora do caminho
21004,21004,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,82.1186614658181,4871,4,-1.0870261387627,68.3659753363795,No caminho
21005,21005,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,289.799072642968,5176,4,8.29919114568286,353.018249972258,Fora do caminho
21006,21006,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,96.4320154291225,6222,4,1.79064607111608,127.652342535177,Fora do caminho
21007,21007,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,55.4631170271769,5409,4,-3.77369093754184,0,Meta atingida
21008,21008,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,88.2093501911203,10203,4,3.40744942800525,127.262672530574,Fora do caminho
21009,21009,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,125.254423046814,6387,4,7.22541382909844,251.509233219091,Fora do caminho
21010,21010,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,28.604118993135,3496,4,-3.84097384814972,0,Meta atingida
21011,21011,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,83.6680053547523,5976,4,-1.49184702164135,33.0700124080208,No caminho
21012,21012,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,129.87012987013,4620,4,-6.38076155721956,0,No caminho
21013,21013,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,60.108194750551,4991,4,-0.462973776695923,80.7092097534305,Meta atingida
21014,21014,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,88.7442685993196,6761,4,3.18720103784083,146.880036660285,Fora do caminho
21015,21015,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,74.9437921558831,4003,4,5.74758907994001,201.104870242218,Fora do caminho
21016,21016,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,74.9922802064493,22669,4,1.2934159148948,135.640795590296,Fora do caminho
21017,21017,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,75.4906894816306,3974,4,-1.87747285326486,72.3335246930128,Fora do caminho
21018,21018,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,116.631677163518,4287,4,2.24564642571216,147.961939624744,Fora do caminho
21019,21019,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,99.5222929936306,5024,4,-0.29138781378805,64.2218127235658,No caminho
22001,22001,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,45.2079566003617,2212,4,-6.84781293255544,0,Meta atingida
22002,22002,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,66.0720185001652,3027,4,-0.89462496041107,71.7243334837037,Meta atingida
22003,22003,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,161.004669135405,6211,4,6.16755943049268,231.917835708609,Fora do caminho
22004,22004,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,55.976795074042,19651,4,0.298399260688628,75.5799016286405,Meta atingida
22005,22005,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,93.3706816059757,4284,4,-1.45899967552033,40.200437937192,No caminho
22006,22006,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,135.196034249662,2219,4,0.85665823342354,111.077656388702,Fora do caminho
22007,22007,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,102.249488752556,978,4,-13.0186913778031,0,No caminho
22008,22008,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,72.5163161711385,1379,4,2.53166133130565,104.163460012719,Fora do caminho
22009,22009,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,78.4929356357928,5096,4,-2.19666543835722,47.9869365980721,No caminho
22010,22010,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,155.642023346303,1285,4,3.6501077561229,212.002973172945,Fora do caminho
22011,22011,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,68.7285223367698,2910,4,2.51142747095023,216.634868154554,Meta atingida
23001,23001,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,30.5264640961818,42586,4,-1.73346838134419,12.4755403134218,Meta atingida
23002,23002,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,53.276505061268,9385,4,-1.14511114614473,43.9012101829799,Meta atingida
23003,23003,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,58.3703011907542,8566,4,-1.29119199605803,36.8677766363276,Meta atingida
23004,23004,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,0,2042,4,0.184072432286564,27.4686074597186,Meta atingida
23005,23005,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,72.2282412423258,2769,4,-0.896185435024699,57.0597229557857,No caminho
